objectid,title,title-es,title-ura,type,type-es,type-ura,description,description-es,description-ura,material,material-es,material-ura,subject,subject-es,subject-ura,object_location,image_small,image_thumb,display_template,location,location-es,location-ura,creator,creator-es,creator-ura,language,source,source-es,source-ura
2007.4697,Bowl,Cuenco,Arane kudarujue ülünetiiani,Container,Recipientes,Recipientes,<p><span>The small bowl has a slightly flared rim and is slightly lopsided. It is undecorated and light brown. Late 1800's-1996. 7 x 10 cm; 2 3/4 x 3 7/8 in</span></p>,<p><span>El cuenco pequeño tiene un borde ligeramente acampanado y está ligeramente torcido. No está decorado y es de color marrón claro. Finales de 1800-1996. 7 x 10 cm; 2 3/4 x 3 7/8 pulgadas</span></p>,"<p>kaa daruete janujuine atane kusumara kaje, nülünü jiünuekaa, nüjüae charaekaain. Niei kulutenuinie raijiainte jichuajijiain sumauekueri.</p>",Ceramic,Cerámica,atane kusumara,Ceramic;Container,Cerámica;Recipientes,atane kusumara;Cerámica;Recipientes,,,,,"<p><span>Loreto department, Peru</span></p>
","<p>Departamento de Loreto, Perú</p>","<p>Departamento de Loreto, Perú</p>",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean
2007.4698,Small Bowl,Cuenco pequeño,mürae,Container,Recipientes,Recipientes,,,"<p>kaa mürae te atane kusumara kaje jaüre kadane lanaji ke kuluteein, fachuru ke rüjüain, ararakaeria rei küani tujueekiin, melaaekiin.</p>",Ceramic,Cerámica,"atane kusumara, kadane lanaji",Ceramic;Paint;Container,Cerámica;Pintura;Recipientes,atane kusumara;kadane lanaji;Cerámica;Pintura;Recipientes,,,,,"<p>Loreto department, Peru</p>
","<p>Departamento de Loreto, Perú</p>","<p>Departamento de Loreto, Perú</p>",Unknown Urarina maker,,,English,Gift of Bartholomew Dean,,
2007.4699,Bowl,Cuenco,Kadane sumajike rüjüanujui ujauichü,Container,Recipientes,Recipientes,"The wide, shallow bowl has a slightly flaring rim. It has a white field and the exterior is decorated with a yellow ""X"" and two yellow chevrons in the space between each arm. The interior is undecorated, but the rim is yellow. Late 1800s-1996. 5 x 18.5 cm","<p>El recipiente ancho y poco profundo tiene un borde ligeramente abocinado. Tiene un campo blanco y el exterior está decorado con una ""X"" amarilla y dos galones amarillos en el espacio entre cada brazo. El interior no está decorado, pero el borde es amarillo. Finales de 1800-1996. 5x18,5 cm</p>","<p>kaa ujuaichü te jarautiin ararakeri, nüjüae charaekaain. Rei kulu te sumaeke, kadane lanaji  ke ürerianuiinein</p>",Ceramic,Cerámica,atane kusumara,Ceramic;Paint;Container,Cerámica;Pintura;Recipientes,Cerámica;Pintura;Recipientes;atane kusumara,,,,,"<p>Loreto department, Peru</p>
",,,Unknown Urarina maker,,,English,Gift of Bartholomew Dean,,
2007.47,Bowl,Cuenco,darue ülünuui,Recipientes,Recipientes,Recipientes,"<p>kaa darue te atane kusumara kaje janujuine, kulutelanaana, raüjiain süraa kaün jichüjichueriin kauatiin tükütuane jaaün, nüjüae meruakaain, süri tijiichaain, ichüünejeein nülünu laüekaain.</p>",,,Ceramic,Cerámica,atane kusumara,Ceramic;Container,Cerámica;Recipientes,atane kusumara;Cerámica;Recipientes,,,,,"<p>Departamento de Loreto, Perú</p>",,,Fabricante Urarina desconocido,,,Urarina,Regalo de Dr. Bartholomew Dean,,
2007.4701,Bowl,Cuenco,Darue kanaani nekauunjuanaja,Container,Recipientes,Recipientes,,,"<p>kaa darue te atane kusumara kaje janujuine, kauachaain tüküeniane jaaünte jichujue, nüjüae meruakaain, süri tijiichaain, ichüünejeein nülünu laüekaain, jabeekiin.</p>",Ceramic,Cerámica,"atane kusumara, kadane aina",Ceramic;Container,Cerámica;Recipientes,atane kusumara;kadane aina;Cerámica;Recipientes,,,,,"<p>Loreto department, Peru</p>
",,,Unknown Urarina maker,,,English,Gift of Bartholomew Dean,,
2007.4702,Bowl,Cuenco,"Kadene ke kulanujui ujuaichü, jeü.",Container,Recipientes,Recipientes,,,"<p>kaa ujuaichü te kauatiin janujuine, jujururutii, jarauti küanikiin, üküatiin küanekiin, kadane lanaji ke kulanujuineein jana rei küani te jichuajiaujuain sumaekueri kauatiin netüüjiane jaün.</p>",Ceramic,Cerámica,atane kusumara,Ceramic;Container,Cerámica;Recipientes,atane kusumara;Cerámica;Recipientes,,,,,"<p>Loreto department, Peru</p>
",,,Unknown Urarina maker,,,English,Gift of Bartholomew Dean,,
2007.4703,Bowl,Cuenco,Kuaairi kumüraje,Container,Recipientes,Recipientes,,,"<p>kaa müraete tujuekiin nujuu tütüeka, üküajeriti küanekiin, sumaeki kuluin, kadane lanajike ürerianuinein.</p>",Ceramic,Cerámica,atane kusumara,Ceramic;Container,Cerámica;Recipientes,atane kusumara;Cerámica;Recipientes,,,,,"<p>Loreto department, Peru</p>
",,,Unknown Urarina maker,,,English,Gift of Bartholomew Dean,,
2007.4704,atene kudarujue jaree janaanaje,,,Recipientes,,,"<p>kaa darue te atane kusumara kaje janujuine, kulutelanaana, raüjiain süraa kaün jichu jichueriin kauatiin tükütuane jaaün, nüjüae meruakaain, süri tijiichaain, ichüünejeein nülünu laüekaain.</p>",,,atane kusumara,,,atane kusumara;Cerámica;Recipientes,,,,,,,"<p>Departamento de Loreto, Perú</p>",,,Fabricante Urarina desconocido,,,Urarina,Regalo de Dr. Bartholomew Dean,,
2007.4704,Bowl,,,Container,,,,,,Ceramic,,,Ceramic;Container,,,,,,,"<p>Loreto department, Peru</p>
",,,Unknown Urarina maker,,,English,Gift of Bartholomew Dean,,
2007.4704,Cuenco,,,Recipientes,,,,,,Cerámica,,,Cerámica;Recipientes,,,,,,,"<p>Departamento de Loreto, Perú</p>",,,Fabricante Urarina desconocido,,,Español,Regalo de Dr. Bartholomew Dean,,
2007.4705,Nafakürü,,,Recipientes,,,"<p>kaa nafakürü te atane kusumara kaje jaaüre, tasiujuaa, jujururuetiin, jarauti küanekiin, nüjüae kulane, kulu kulane, süraa kaün jichu jichueriin.</p>",,,atane kusumara,,,atane kusumara;Cerámica;Recipientes,,,,,,,"<p>Departamento de Loreto, Perú</p>",,,Fabricante Urarina desconocido,,,Urarina,Regalo de Dr. Bartholomew Dean,,
