pid,label,title-es,title-ura,type,type-es,type-ura,location,location-es,location-ura,creator,creator-es,creator-ura,description,description-es,description-ura,material,material-es,material-ura,language,source,source-es,source-ura,subject,subject-es,subject-ura,object_location,image_small,image_thumb,display_template,order,layout,collection,thumbnail,full
2007.5174,Loom,Telar,,Furniture and furnishings,Muebles y accesorios,Muebles y accesorios,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,"The loom contains a partially woven mat. The mat is light natural with vertical red stripes and thin brown stripes on each red. The unwoven plant fibers are the same color. There are multiple pieces of the loom consisting of: 2007.5175.a is the flat wooden board with a partially woven mat and all of the unwoven plant fiber. The length of wood has a notch at either end. 2007.5175.b is a large, long piece of wood, round in cross section with a groove at each end. I think there is a twisted plant fiber cord tied round each end. 2007.5175.c is a flat piece of wood with a straight edge and an arched edge. It is dark brown. 2007.5175.d is a long piece of wood with a triangular cross section. It is light brown. 2007.5175.e,f are two very dark brown sticks of a relatively small diameter.&nbsp;Late 1800s-1996. a x 91.5 cm; a x 36 in; b 128 x 13 cm; b 50 3/8 x 5 1/8 in; c 106.5 x 10.5 cm; c 41 7/8 x 4 1/8 in; d 92 x 5 cm; d 36 1/4 x 1 15/16 in; e 89 x 1.5 cm; e 35 1/16 x 9/16 in; f 66 x 1.5 cm; f 26 x 9/16 in","El telar contiene una estera parcialmente tejida. El tapete es natural claro con rayas rojas verticales y finas rayas marrones en cada rojo. Las fibras vegetales sin tejer son del mismo color. Hay varias piezas del telar que consisten en: 2007.5175.a es la tabla de madera plana con una estera parcialmente tejida y toda la fibra vegetal sin tejer. La longitud de la madera tiene una muesca en cada extremo. 2007.5175.b es una pieza de madera larga y grande, de sección transversal redonda con una ranura en cada extremo. Creo que hay un cordón de fibra vegetal retorcido atado alrededor de cada extremo. 2007.5175.c es una pieza plana de madera con un borde recto y un borde arqueado. Es marrón oscuro. 2007.5175.d es una pieza larga de madera con una sección transversal triangular. Es marrón claro. 2007.5175.e,f son dos palos de color marrón muy oscuro de un diámetro relativamente pequeño. Finales de 1800-1996. x 91,5 cm; una x 36 pulgadas; b 128 x 13 cm; b 50 3/8 x 5 1/8 pulgadas; c 106,5 x 10,5 cm; c 41 7/8 x 4 1/8 pulgadas; profundidad 92 x 5 cm; d 36 1/4 x 1 15/16 pulgadas; mi 89 x 1,5 cm; mi 35 1/16 x 9/16 pulgadas; f 66 x 1,5 cm; f 26 x 9/16 pulgadas",,wood|plant fiber|weaving|dyeing,madera|fibra de planta|tejido|tintura,,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Wood|Plant fiber|Weaving|Dyeing|Furniture and furnishings,Madera|Fibra de planta|Tejido|Tintura|Muebles y accesorios,,,,,,103,urarina_item,urarina,img/derivatives/simple/2007.5174/thumbnail.jpg,img/derivatives/simple/2007.5174/fullwidth.jpg
2007.4698,Small Bowl,Cuenco pequeño,mürae,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,'Small Bowl","Tazón pequeño","kaa mürae te atane kusumara kaje jaüre kadane lanaji ke kuluteein, fachuru ke rüjüain, ararakaeria rei küani tujueekiin, melaaekiin.",Ceramic,Cerámica,atane kusumara|kadane lanaji,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Paint|Container,Cerámica|Pintura|Recipientes,atane kusumara|kadane lanaji|Cerámica|Pintura|Recipientes,,,,,001,urarina_item,urarina,img/derivatives/simple/2007.4698/thumbnail.jpg,img/derivatives/simple/2007.4698/fullwidth.jpg
2007.4699,Bowl,Cuenco,Kadane sumajike rüjüanujui ujauichü,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,"The wide, shallow bowl has a slightly flaring rim. It has a white field and the exterior is decorated with a yellow ""X"" and two yellow chevrons in the space between each arm. The interior is undecorated, but the rim is yellow. Late 1800s-1996. 5 x 18.5 cm",The small bowl has a slightly flared rim and is slightly lopsided. It is undecorated and light brown. Late 1800's-1996. 7 x 10 cm; 2 3/4 x 3 7/8 in,"kaa ujuaichü te jarautiin ararakeri, nüjüae charaekaain. Rei kulu te sumaeke, kadane lanaji ke ürerianuiinein",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Paint|Container,Cerámica|Pintura|Recipientes,Cerámica|Pintura|Recipientes|atane kusumara,,,,,002,urarina_item,urarina,img/derivatives/simple/2007.4699/thumbnail.jpg,img/derivatives/simple/2007.4699/fullwidth.jpg
2007.4700,Bowl,Cuenco,darue ülünuui,Recipientes,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,"kaa darue te atane kusumara kaje janujuine, kulutelanaana, raüjiain süraa kaün jichüjichueriin kauatiin tükütuane jaaün, nüjüae meruakaain, süri tijiichaain, ichüünejeein nülünu laüekaain.",,,Ceramic,Cerámica,atane kusumara,Urarina,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,003,urarina_item,urarina,img/derivatives/simple/2007.4700/thumbnail.jpg,img/derivatives/simple/2007.4700/fullwidth.jpg
2007.4701,Bowl,Cuenco,Darue kanaani nekauunjuanaja,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú",Mukurtu,Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa darue te atane kusumara kaje janujuine, kauachaain tüküeniane jaaünte jichujue, nüjüae meruakaain, süri tijiichaain, ichüünejeein nülünu laüekaain, jabeekiin.",Ceramic,Cerámica,atane kusumara|kadane aina,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|kadane aina|Cerámica|Recipientes,,,,,004,urarina_item,urarina,img/derivatives/simple/2007.4701/thumbnail.jpg,img/derivatives/simple/2007.4701/fullwidth.jpg
2007.4702,Bowl,Cuenco,"Kadene ke kulanujui ujuaichü, jeü.",Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa ujuaichü te kauatiin janujuine, jujururutii, jarauti küanikiin, üküatiin küanekiin, kadane lanaji ke kulanujuineein jana rei küani te jichuajiaujuain sumaekueri kauatiin netüüjiane jaün.",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,005,urarina_item,urarina,img/derivatives/simple/2007.4702/thumbnail.jpg,img/derivatives/simple/2007.4702/fullwidth.jpg
2007.4703,Bowl,Cuenco,Kuaairi kumüraje,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa müraete tujuekiin nujuu tütüeka, üküajeriti küanekiin, sumaeki kuluin, kadane lanajike ürerianuinein.",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,006,urarina_item,urarina,img/derivatives/simple/2007.4703/thumbnail.jpg,img/derivatives/simple/2007.4703/fullwidth.jpg
2007.4704,Bowl,Cuenco,atene kudarujue jaree janaanaje,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa darue te atane kusumara kaje janujuine, kulutelanaana, raüjiain süraa kaün jichu jichueriin kauatiin tükütuane jaaün, nüjüae meruakaain, süri tijiichaain, ichüünejeein nülünu laüekaain.",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,007,urarina_item,urarina,img/derivatives/simple/2007.4704/thumbnail.jpg,img/derivatives/simple/2007.4704/fullwidth.jpg
2007.4705,Bowl,Cuenco,Nafakürü,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa nafakürü te atane kusumara kaje jaaüre, tasiujuaa, jujururuetiin, jarauti küanekiin, nüjüae kulane, kulu kulane, süraa kaün jichu jichueriin.",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,008,urarina_item,urarina,img/derivatives/simple/2007.4705/thumbnail.jpg,img/derivatives/simple/2007.4705/fullwidth.jpg
2007.4706,Bowl,Cuenco,ujuaichü reraeku chalünaanaja,Container,Recipientes,Recipientes,"Loreto department, Peru","Departamento de Loreto, Perú","Departamento de Loreto, Perú",Unknown Urarina maker,Fabricante Urarina desconocido,Fabricante Urarina desconocido,,,"kaa ujuaichü te tasiujuae üküati küanekiin, fufururutiin, sumaajiujuai kuluin, süraa kaün jichujichueriin.",Ceramic,Cerámica,atane kusumara,English,Gift of Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Regalo de Dr. Bartholomew Dean,Ceramic|Container,Cerámica|Recipientes,atane kusumara|Cerámica|Recipientes,,,,,009,urarina_item,urarina,img/derivatives/simple/2007.4706/thumbnail.jpg,img/derivatives/simple/2007.4706/fullwidth.jpg
